Title,Year,Runtime,IMDB_Rating,Metascore,Votes,Description,Decade,Rating_Category,Runtime_Category
Rush,2013,123,8.1,74.0,34709,The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda.,2010,Very Good,Long (120–180 min)
Ford v Ferrari,2019,152,8.1,81.0,34709,American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.,2010,Very Good,Long (120–180 min)
Spotlight,2015,129,8.1,93.0,34709,"The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.",2010,Very Good,Long (120–180 min)
Kahaani,2012,122,8.1,78.69,34709,"A pregnant woman's search for her missing husband takes her from London to Kolkata, but everyone she questions denies having ever met him.",2010,Very Good,Long (120–180 min)
Udaan,2010,134,8.1,78.69,34709,"Expelled from his school, a 16-year old boy returns home to his abusive and oppressive father.",2010,Very Good,Long (120–180 min)
Zindagi Na Milegi Dobara,2011,155,8.1,78.69,34709,Three friends decide to turn their fantasy vacation into reality after one of their friends gets engaged.,2010,Very Good,Long (120–180 min)
The Help,2011,146,8.1,62.0,34709,"An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and the hardships they go through on a daily basis.",2010,Very Good,Long (120–180 min)
Prisoners,2013,153,8.1,70.0,34709,"When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts.",2010,Very Good,Long (120–180 min)
Mad Max: Fury Road,2015,120,8.1,90.0,34709,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named Max.",2010,Very Good,Standard (90–120 min)
A Wednesday,2008,104,8.1,78.69,34709,A retiring police officer reminisces about the most astounding day of his career. About a case that was never filed but continues to haunt him in his memories - the case of a man and a Wednesday.,2000,Very Good,Standard (90–120 min)
Gran Torino,2008,116,8.1,72.0,34709,"Disgruntled Korean War veteran Walt Kowalski sets out to reform his neighbor, Thao Lor, a Hmong teenager who tried to steal Kowalski's prized possession: a 1972 Gran Torino.",2000,Very Good,Standard (90–120 min)
Harry Potter and the Deathly Hallows: Part 2,2011,130,8.1,85.0,34709,"Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.",2010,Very Good,Long (120–180 min)
Hachi: A Dog's Tale,2009,93,8.1,78.69,34709,A college professor bonds with an abandoned dog he takes into his home.,2000,Very Good,Standard (90–120 min)
Mary and Max,2009,92,8.1,78.69,34709,"A tale of friendship between two unlikely pen pals: Mary, a lonely, eight-year-old girl living in the suburbs of Melbourne, and Max, a forty-four-year old, severely obese man living in New York.",2000,Very Good,Standard (90–120 min)
How to Train Your Dragon,2010,98,8.1,75.0,34709,"A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.",2010,Very Good,Standard (90–120 min)
Let's Go! India,2007,153,8.1,68.0,34709,"Kabir Khan, the coach of the Indian Women's National Hockey Team, dreams of making his all-girls team emerge victorious against all odds.",2000,Very Good,Long (120–180 min)
Into the Wild,2007,148,8.1,73.0,34709,"After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness. Along the way, Christopher encounters a series of characters that shape his life.",2000,Very Good,Long (120–180 min)
Color It Yellow,2006,167,8.1,78.69,34709,"The story of six young Indians who assist an English woman to film a documentary on the freedom fighters from their past, and the events that lead them to relive the long-forgotten saga of freedom.",2000,Very Good,Long (120–180 min)
Million Dollar Baby,2004,132,8.1,86.0,34709,A determined woman works with a hardened boxing trainer to become a professional.,2000,Very Good,Long (120–180 min)
Hotel Rwanda,2004,121,8.1,79.0,34709,"Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa.",2000,Very Good,Long (120–180 min)
Ratatouille,2007,111,8.1,96.0,34709,A rat who can cook makes an unusual alliance with a young kitchen worker at a famous Paris restaurant.,2000,Very Good,Standard (90–120 min)
Before Sunset,2004,80,8.1,90.0,34709,"Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour.",2000,Very Good,Short (<90 min)
Black,2005,122,8.1,78.69,34709,"The cathartic tale of a young woman who can't see, hear, or speak, and the teacher who brings a ray of light into her dark world.",2000,Very Good,Long (120–180 min)
Munna Bhai M.B.B.S.,2003,156,8.1,78.69,34709,A gangster sets out to fulfill his father's dream of becoming a doctor.,2000,Very Good,Long (120–180 min)
Swades,2004,189,8.1,78.69,34709,A successful Indian scientist returns to an Indian village to take his nanny to America with him and in the process rediscovers his roots.,2000,Very Good,Epic (>180 min)
Memories of Murder,2003,132,8.1,82.0,34709,"In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit.",2000,Very Good,Long (120–180 min)
Pirates of the Caribbean: The Curse of the Black Pearl,2003,143,8.1,63.0,34709,"Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead.",2000,Very Good,Long (120–180 min)
Dil Chahta Hai,2001,183,8.1,78.69,34709,"Three inseparable childhood friends are just out of college. Nothing comes between them - until they each fall in love, and their wildly different approaches to relationships creates tension.",2000,Very Good,Epic (>180 min)
Catch Me If You Can,2002,141,8.1,75.0,34709,"Barely 21 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit.",2000,Very Good,Long (120–180 min)
Her Sey Çok Güzel Olacak,1998,107,8.1,78.69,34709,"When Altan swipes prescription drugs from his brother Nuri's pharmacy, they soon find themselves on a dangerous but funny road trip to get rid of the stuff and escape the mafiosi Altan ...                See full summary »",1990,Very Good,Standard (90–120 min)
Amores perros,2000,154,8.1,83.0,34709,"A horrific car accident connects three stories, each involving characters dealing with loss, regret, and life's harsh realities, all in the name of love.",2000,Very Good,Long (120–180 min)
Hera Pheri,2000,156,8.1,78.69,34709,"Three unemployed men look for answers to all their money problems - but when their opportunity arrives, will they know what to do with it?",2000,Very Good,Long (120–180 min)
Sarfarosh,1999,174,8.1,78.69,34709,"After his brother is killed and father severely injured by terrorists, a young med student quits his studies to join the Indian Police Service to wipe out the terrorists.",1990,Very Good,Long (120–180 min)
"Monsters, Inc.",2001,92,8.1,79.0,34709,"In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things may not be what they think.",2000,Very Good,Standard (90–120 min)
Lagaan: Once Upon a Time in India,2001,224,8.1,84.0,34709,The people of a small village in Victorian India stake their future on a game of cricket against their ruthless British rulers.,2000,Very Good,Epic (>180 min)
The Celebration,1998,105,8.1,82.0,34709,"At Helge's 60th birthday party, some unpleasant family truths are revealed.",1990,Very Good,Standard (90–120 min)
The Iron Giant,1999,86,8.1,85.0,34709,A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy.,1990,Very Good,Short (<90 min)
The Big Lebowski,1998,117,8.1,71.0,34709,"Ultimate L.A. slacker Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for a rug ruined by debt collectors, enlisting his bowling buddies for help while trying to find the millionaire's missing wife.",1990,Very Good,Standard (90–120 min)
In the Mood for Love,2000,98,8.1,85.0,34709,"Two neighbors form a strong bond after both suspect extramarital activities of their spouses. However, they agree to keep their bond platonic so as not to commit similar wrongs.",2000,Very Good,Standard (90–120 min)
Trainspotting,1996,93,8.1,83.0,34709,"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends.",1990,Very Good,Standard (90–120 min)
Fargo,1996,98,8.1,85.0,34709,Minnesota car salesman Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.,1990,Very Good,Standard (90–120 min)
The Bandit,1996,128,8.1,78.69,34709,"Baran the Bandit, released from prison after 35 years, searches for vengeance and his lover.",1990,Very Good,Long (120–180 min)
Underground,1995,167,8.1,79.0,34709,"A group of Serbian socialists prepares for the war in a surreal underground filled by parties, tragedies, love, and hate.",1990,Very Good,Long (120–180 min)
La Haine,1995,98,8.1,78.69,34709,24 hours in the lives of three young men in the French suburbs the day after a violent riot.,1990,Very Good,Standard (90–120 min)
Before Sunrise,1995,101,8.1,77.0,34709,"A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together.",1990,Very Good,Standard (90–120 min)
Three Colors: Red,1994,99,8.1,100.0,34709,A model discovers a retired judge is keen on invading people's privacy.,1990,Very Good,Standard (90–120 min)
In the Name of the Father,1993,133,8.1,84.0,34709,A man's coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. An English lawyer fights to free them.,1990,Very Good,Long (120–180 min)
Groundhog Day,1993,101,8.1,72.0,34709,"A narcissistic, self-centered weatherman finds himself in a time loop on Groundhog Day, and the day keeps repeating until he gets it right.",1990,Very Good,Standard (90–120 min)
Farewell My Concubine,1993,171,8.1,83.0,34709,Two boys meet at an opera training school in Peking in 1924. Their resulting friendship will span nearly 70 years and will endure some of the most troublesome times in China's history.,1990,Very Good,Long (120–180 min)
Raise the Red Lantern,1991,125,8.1,78.69,34709,"A young woman becomes the fourth wife of a wealthy lord, and must learn to live with the strict rules and tensions within the household.",1990,Very Good,Long (120–180 min)
Time of the Gypsies,1988,142,8.1,78.69,34709,"In this luminous tale set in the area around Sarajevo and in Italy, Perhan, an engaging young Romany (gypsy) with telekinetic powers, is seduced by the quick-cash world of petty crime, which threatens to destroy him and those he loves.",1980,Very Good,Long (120–180 min)
Dead Poets Society,1989,128,8.1,79.0,34709,Maverick teacher John Keating uses poetry to embolden his boarding school students to new heights of self-expression.,1980,Very Good,Long (120–180 min)
My Neighbor Totoro,1988,86,8.1,86.0,34709,"When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby.",1980,Very Good,Short (<90 min)
Stand by Me,1986,89,8.1,75.0,34709,"After the death of one of his friends, a writer recounts a childhood journey with his friends to find the body of a missing boy.",1980,Very Good,Short (<90 min)
Platoon,1986,120,8.1,92.0,34709,"Chris Taylor, a neophyte recruit in Vietnam, finds himself caught in a battle of wills between two sergeants, one good and the other evil. A shrewd examination of the brutality of war and the duality of man in conflict.",1980,Very Good,Standard (90–120 min)
Jean de Florette,1986,120,8.1,78.69,34709,A greedy landowner and his backward nephew conspire to block the only water source for an adjoining property in order to bankrupt the owner and force him to sell.,1980,Very Good,Standard (90–120 min)
The Terminator,1984,107,8.1,84.0,34709,"A human soldier is sent from 2029 to 1984 to stop an almost indestructible cyborg killing machine, sent from the same year, which has been programmed to execute a young woman whose unborn son is the key to humanity's future salvation.",1980,Very Good,Standard (90–120 min)
"Paris, Texas",1984,145,8.1,78.0,34709,"Travis Henderson, an aimless drifter who has been missing for four years, wanders out of the desert and must reconnect with society, himself, his life, and his family.",1980,Very Good,Long (120–180 min)
Gandhi,1982,191,8.1,79.0,34709,The life of the lawyer who became the famed leader of the Indian revolts against the British rule through his philosophy of nonviolent protest.,1980,Very Good,Epic (>180 min)
Fanny and Alexander,1982,188,8.1,100.0,34709,"Two young Swedish children in the 1900s experience the many comedies and tragedies of their lively and affectionate theatrical family, the Ekdahls.",1980,Very Good,Epic (>180 min)
Blade Runner,1982,117,8.1,84.0,34709,"A blade runner must pursue and terminate four replicants who stole a ship in space, and have returned to Earth to find their creator.",1980,Very Good,Standard (90–120 min)
Stalker,1979,162,8.1,78.69,34709,A guide leads two men through an area known as the Zone to find a room that grants wishes.,1970,Very Good,Long (120–180 min)
Autumn Sonata,1978,99,8.1,78.69,34709,"A devoted wife is visited by her mother, a successful concert pianist who had little time for her when she was young.",1970,Very Good,Standard (90–120 min)
The Deer Hunter,1978,183,8.1,86.0,34709,An in-depth examination of the ways in which the Vietnam War impacts and disrupts the lives of several friends in a small steel mill town in Pennsylvania.,1970,Very Good,Epic (>180 min)
Rocky,1976,120,8.1,70.0,34709,A small-time Philadelphia boxer gets a supremely rare chance to fight the world heavyweight champion in a bout in which he strives to go the distance for his self-respect.,1970,Very Good,Standard (90–120 min)
Network,1976,121,8.1,83.0,34709,"A television network cynically exploits a deranged former anchor's ravings and revelations about the news media for its own profit, but finds that his message may be difficult to control.",1970,Very Good,Long (120–180 min)
The Message,1976,177,8.1,78.69,34709,This epic historical drama chronicles the life and times of Prophet Muhammad and serves as an introduction to early Islamic history.,1970,Very Good,Long (120–180 min)
Sholay,1975,162,8.1,78.69,34709,"After his family is murdered by a notorious and ruthless bandit, a former police officer enlists the services of two outlaws to capture the bandit.",1970,Very Good,Long (120–180 min)
Jaws,1975,124,8.1,87.0,34709,"When a killer shark unleashes chaos on a beach community off Cape Cod, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down.",1970,Very Good,Long (120–180 min)
Barry Lyndon,1975,185,8.1,89.0,34709,An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.,1970,Very Good,Epic (>180 min)
Paper Moon,1973,102,8.1,77.0,34709,"During the Great Depression, a con man finds himself saddled with a young girl who may or may not be his daughter, and the two forge an unlikely partnership.",1970,Very Good,Standard (90–120 min)
The Exorcist,1973,122,8.1,81.0,34709,"When a 12-year-old girl is possessed by a mysterious entity, her mother seeks the help of two priests to save her.",1970,Very Good,Long (120–180 min)
Anand,1971,122,8.1,78.69,34709,"The story of a terminally ill man who wishes to live life to the fullest before the inevitable occurs, as told by his best friend.",1970,Very Good,Long (120–180 min)
Cool Hand Luke,1967,127,8.1,92.0,34709,"A laid back Southern man is sentenced to two years in a rural prison, but refuses to conform.",1960,Very Good,Long (120–180 min)
Persona,1966,83,8.1,86.0,34709,A nurse is put in charge of a mute actress and finds that their personae are melding together.,1960,Very Good,Short (<90 min)
The Sound of Music,1965,172,8.1,63.0,34709,A young novitiate is sent by her convent in 1930s Austria to become a governess to the seven children of a widowed naval officer.,1960,Very Good,Long (120–180 min)
The Battle of Algiers,1966,121,8.1,96.0,34709,"In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government.",1960,Very Good,Long (120–180 min)
The Man Who Shot Liberty Valance,1962,123,8.1,94.0,34709,A senator returns to a western town for the funeral of an old friend and tells the story of his origins.,1960,Very Good,Long (120–180 min)
The Virgin Spring,1960,89,8.1,78.69,34709,"In 14th-century Sweden, an innocent yet pampered teenage girl and her family's pregnant and jealous servant set out from their farm to deliver candles to church, but only one returns from events that transpire in the woods along the way.",1960,Very Good,Short (<90 min)
Inherit the Wind,1960,128,8.1,75.0,34709,"Based on a real-life case in 1925, two great lawyers argue the case for and against a Tennessee science teacher accused of the crime of teaching evolution.",1960,Very Good,Long (120–180 min)
The 400 Blows,1959,99,8.1,78.69,34709,"A young boy, left without attention, delves into a life of petty crime.",1950,Very Good,Standard (90–120 min)
Ben-Hur,1959,212,8.1,90.0,34709,"After a Jewish prince is betrayed and sent into slavery by a Roman friend in 1st-century Jerusalem, he regains his freedom and comes back for revenge.",1950,Very Good,Epic (>180 min)
The Hidden Fortress,1958,126,8.1,89.0,34709,"Lured by gold, two greedy peasants unknowingly escort a princess and her general across enemy lines.",1950,Very Good,Long (120–180 min)
Wild Strawberries,1957,91,8.1,88.0,34709,"After living a life marked by coldness, an aging professor is forced to confront the emptiness of his existence.",1950,Very Good,Standard (90–120 min)
The Seventh Seal,1957,96,8.1,88.0,34709,"A knight returning to Sweden after the Crusades seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague.",1950,Very Good,Standard (90–120 min)
Nights of Cabiria,1957,110,8.1,78.69,34709,A waifish prostitute wanders the streets of Rome looking for true love but finds only heartbreak.,1950,Very Good,Standard (90–120 min)
Throne of Blood,1957,110,8.1,78.69,34709,"A war-hardened general, egged on by his ambitious wife, works to fulfill a prophecy that he would become lord of Spider's Web Castle.",1950,Very Good,Standard (90–120 min)
Rififi,1955,118,8.1,97.0,34709,"Four men plan a technically perfect crime, but the human element intervenes...",1950,Very Good,Standard (90–120 min)
On the Waterfront,1954,108,8.1,91.0,34709,"An ex-prize fighter turned New Jersey longshoreman struggles to stand up to his corrupt union bosses, including his older brother, as he starts to connect with the grieving sister of one of the syndicate's victims.",1950,Very Good,Standard (90–120 min)
Diabolique,1955,117,8.1,78.69,34709,The wife and mistress of a loathed school principal plan to murder him with what they believe is the perfect alibi.,1950,Very Good,Standard (90–120 min)
Ace in the Hole,1951,111,8.1,72.0,34709,"A frustrated former big-city journalist now stuck working for an Albuquerque newspaper exploits a story about a man trapped in a cave to rekindle his career, but the situation quickly escalates into an out-of-control circus.",1950,Very Good,Standard (90–120 min)
White Heat,1949,114,8.1,78.69,34709,A psychopathic criminal with a mother complex makes a daring break from prison and leads his old gang in a chemical plant payroll heist.,1940,Very Good,Standard (90–120 min)
The Third Man,1949,93,8.1,97.0,34709,"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.",1940,Very Good,Standard (90–120 min)
The Red Shoes,1948,135,8.1,78.69,34709,A young ballet dancer is torn between the man she loves and her pursuit to become a prima ballerina.,1940,Very Good,Long (120–180 min)
The Best Years of Our Lives,1946,170,8.1,93.0,34709,"Three World War II veterans, two of them traumatized or disabled, return home to the American midwest to discover that they and their families have been irreparably changed.",1940,Very Good,Long (120–180 min)
The Shop Around the Corner,1940,99,8.1,96.0,34709,"Two employees at a gift shop can barely stand each other, without realizing that they are falling in love through the post as each other's anonymous pen pal.",1940,Very Good,Standard (90–120 min)
Rebecca,1940,130,8.1,86.0,34709,A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.,1940,Very Good,Long (120–180 min)
The Grapes of Wrath,1940,129,8.1,96.0,34709,"An Oklahoma family, driven off their farm by the poverty and hopelessness of the Dust Bowl, joins the westward migration to California, suffering the misfortunes of the homeless in the Great Depression.",1940,Very Good,Long (120–180 min)
The Wizard of Oz,1939,102,8.1,92.0,34709,"Young Dorothy Gale and her dog are swept away by a tornado from their Kansas farm to the magical Land of Oz, and embark on a quest with three new friends to see the Wizard, who can return her to her home and fulfill the others' wishes.",1930,Very Good,Standard (90–120 min)
Mr. Smith Goes to Washington,1939,129,8.1,73.0,34709,"A naive youth leader is appointed to fill a vacancy in the U.S. Senate. His idealistic plans promptly collide with corruption at home and subterfuge from his hero in Washington, but he tries to forge ahead despite attacks on his character.",1930,Very Good,Long (120–180 min)
The Grand Illusion,1937,113,8.1,78.69,34709,"During WWI, two French soldiers are captured and imprisoned in a German P.O.W. camp. Several escape attempts follow until they are eventually sent to a seemingly inescapable fortress.",1930,Very Good,Standard (90–120 min)
It Happened One Night,1934,105,8.1,87.0,34709,"A renegade reporter trailing a young runaway heiress for a big story joins her on a bus heading from Florida to New York, and they end up stuck with each other when the bus leaves them behind at one of the stops.",1930,Very Good,Standard (90–120 min)
All Quiet on the Western Front,1930,152,8.1,91.0,34709,"A German youth eagerly enters World War I, but his enthusiasm wanes as he gets a firsthand view of the horror.",1930,Very Good,Long (120–180 min)
The Circus,1928,72,8.1,90.0,34709,The Tramp finds work and the girl of his dreams at a circus.,1920,Very Good,Short (<90 min)
Sunrise,1927,94,8.1,78.69,34709,"A sophisticated urban woman seduces a farmer in the hopes that he will murder his neglected wife and join her in the city, but he soon finds himself rekindling his romance with the latter when she discovers their scheme.",1920,Very Good,Standard (90–120 min)
RRR,2022,187,8.0,83.0,34709,A fictitious story about two legendary revolutionaries and their journey away from home before they started fighting for their country in 1920s.,2020,Good,Epic (>180 min)
Badhaai Ho,2018,124,8.0,78.69,34709,A man is embarrassed when he finds out his mother is pregnant.,2010,Good,Long (120–180 min)
Wolfwalkers,2020,103,8.0,87.0,34709,A young apprentice hunter and her father journey to Ireland to help wipe out the last wolf pack. But everything changes when she befriends a free-spirited girl from a mysterious tribe rumored to transform into wolves by night.,2020,Good,Standard (90–120 min)
The Invisible Guest,2016,106,8.0,78.69,34709,A successful entrepreneur accused of murder and a witness preparation expert have less than three hours to come up with an impregnable defense.,2010,Good,Standard (90–120 min)
La La Land,2016,128,8.0,94.0,34709,"While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future.",2010,Good,Long (120–180 min)
Lion,2016,118,8.0,69.0,34709,"A five-year-old Indian boy is adopted by an Australian couple after getting lost hundreds of kilometers from home. 25 years later, he sets out to find his lost family.",2010,Good,Standard (90–120 min)
The Martian,2015,144,8.0,80.0,34709,"An astronaut becomes stranded on Mars after his team assume him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive and can survive until a potential rescue.",2010,Good,Long (120–180 min)
Mommy,2014,139,8.0,74.0,34709,"A widowed single mother, raising her violent son alone, finds new hope when a mysterious neighbor inserts herself into their household.",2010,Good,Long (120–180 min)
Soul,2020,100,8.0,83.0,34709,"After landing the gig of a lifetime, a New York jazz pianist suddenly finds himself trapped in a strange land between Earth and the afterlife.",2020,Good,Standard (90–120 min)
Zootopia,2016,108,8.0,78.0,34709,"In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy.",2010,Good,Standard (90–120 min)
Winter Sleep,2014,196,8.0,88.0,34709,A hotel owner and landlord in a remote Turkish village deals with conflicts within his family and a tenant behind on his rent.,2010,Good,Epic (>180 min)
Baahubali: The Beginning,2015,159,8.0,78.69,34709,"In ancient India, an adventurous and daring man becomes involved in a decades-old feud between two warring peoples.",2010,Good,Long (120–180 min)
The Tale of The Princess Kaguya,2013,137,8.0,89.0,34709,"Found inside a shining stalk of bamboo by an old bamboo cutter and his wife, a tiny girl grows rapidly into an exquisite young lady. The mysterious young princess enthralls all who encounter her, but ultimately she must confront her fate, the punishment for her crime.",2010,Good,Long (120–180 min)
Special 26,2013,144,8.0,78.69,34709,A gang of con-men rob prominent rich businessmen and politicians by posing as C.B.I and income tax officers.,2010,Good,Long (120–180 min)
The Imitation Game,2014,114,8.0,71.0,34709,"During World War II, the English mathematical genius Alan Turing tries to crack the German Enigma code with help from fellow mathematicians while attempting to come to terms with his troubled private life.",2010,Good,Standard (90–120 min)
Guardians of the Galaxy,2014,121,8.0,76.0,34709,A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.,2010,Good,Long (120–180 min)
Song of the Sea,2014,93,8.0,85.0,34709,"Ben, a young Irish boy, and his little sister Saoirse, a girl who can turn into a seal, go on an adventure to free the fairies and save the spirit world.",2010,Good,Standard (90–120 min)
Blade Runner 2049,2017,164,8.0,81.0,34709,"Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years.",2010,Good,Long (120–180 min)
Her,2013,126,8.0,91.0,34709,"In a near future, a lonely writer develops an unlikely relationship with an operating system designed to meet his every need.",2010,Good,Long (120–180 min)
The Revenant,2015,156,8.0,76.0,34709,A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.,2010,Good,Long (120–180 min)
The Perks of Being a Wallflower,2012,103,8.0,67.0,34709,An introvert freshman is taken under the wings of two seniors who welcome him to the real world.,2010,Good,Standard (90–120 min)
Elite Squad 2: The Enemy Within,2010,115,8.0,71.0,34709,"After a prison riot, former-Captain Nascimento, now a high ranking security officer in Rio de Janeiro, is swept into a bloody political dispute that involves government officials and paramilitary groups.",2010,Good,Standard (90–120 min)
The King's Speech,2010,118,8.0,88.0,34709,"The story of King George VI, his impromptu ascension to the throne of the British Empire in 1936, and the speech therapist who helped the unsure monarch overcome his stammer.",2010,Good,Standard (90–120 min)
Deadpool,2016,108,8.0,65.0,34709,"A wisecracking mercenary gets experimented on and becomes immortal but ugly, and sets out to track down the man who ruined his looks.",2010,Good,Standard (90–120 min)
Zack Snyder's Justice League,2021,242,8.0,54.0,34709,"Determined to ensure Superman's ultimate sacrifice was not in vain, Bruce Wayne aligns forces with Diana Prince with plans to recruit a team of metahumans to protect the world from an approaching threat of catastrophic proportions.",2020,Good,Epic (>180 min)
Ip Man,2008,106,8.0,59.0,34709,"During the Japanese invasion of China, a wealthy martial artist is forced to leave his home when his city is occupied. With little means of providing for themselves, Ip Man and the remaining members of the city must find a way to survive.",2000,Good,Standard (90–120 min)
Dune,2021,155,8.0,74.0,34709,A noble family becomes embroiled in a war for control over the galaxy's most valuable asset while its heir becomes troubled by visions of a dark future.,2020,Good,Long (120–180 min)
Departures,2008,130,8.0,68.0,34709,A newly unemployed cellist takes a job preparing the dead for funerals.,2000,Good,Long (120–180 min)
CODA,2021,111,8.0,74.0,34709,"As a CODA (Child of Deaf Adults) Ruby is the only hearing person in her deaf family. When the family's fishing business is threatened, Ruby finds herself torn between pursuing her passion at Berklee College of Music and her fear of abandoning her parents.",2020,Good,Standard (90–120 min)
Slumdog Millionaire,2008,120,8.0,84.0,34709,"A Mumbai teenager reflects on his life after being accused of cheating on the Indian version of ""Who Wants to be a Millionaire?"".",2000,Good,Standard (90–120 min)
Black Swan,2010,108,8.0,79.0,34709,"A committed dancer struggles to maintain her sanity after winning the lead role in a production of Tchaikovsky's ""Swan Lake"".",2010,Good,Standard (90–120 min)
Elite Squad,2007,115,8.0,33.0,34709,"In 1997 Rio de Janeiro, Captain Nascimento has to find a substitute for his position while trying to take down drug dealers and criminals before the Pope visits.",2000,Good,Standard (90–120 min)
The Avengers,2012,143,8.0,69.0,34709,Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.,2010,Good,Long (120–180 min)
Persepolis,2007,96,8.0,90.0,34709,A precocious and outspoken Iranian girl grows up during the Islamic Revolution.,2000,Good,Standard (90–120 min)
"Carry On, Munna Bhai",2006,144,8.0,78.69,34709,Munna Bhai embarks on a journey with Mahatma Gandhi in order to fight against a corrupt property dealer.,2000,Good,Long (120–180 min)
The Pursuit of Happyness,2006,117,8.0,64.0,34709,A struggling salesman takes custody of his son as he's poised to begin a life-changing professional career.,2000,Good,Standard (90–120 min)
Blood Diamond,2006,143,8.0,64.0,34709,"A fisherman, a smuggler, and a syndicate of businessmen match wits over the possession of a priceless diamond.",2000,Good,Long (120–180 min)
The Bourne Ultimatum,2007,115,8.0,85.0,34709,Jason Bourne dodges a ruthless C.I.A. official and his Agents from a new assassination program while searching for the origins of his life as a trained killer.,2000,Good,Standard (90–120 min)
Nobody Knows,2004,141,8.0,88.0,34709,"In a small Tokyo apartment, twelve-year-old Akira must care for his younger siblings after their mother leaves them and shows no sign of returning.",2000,Good,Long (120–180 min)
Sin City,2005,124,8.0,74.0,34709,"An exploration of the dark and miserable Basin City and three of its residents, all of whom are caught up in violent corruption.",2000,Good,Long (120–180 min)
The Diving Bell and the Butterfly,2007,112,8.0,92.0,34709,The true story of Elle editor Jean-Dominique Bauby who suffers a stroke and has to live with an almost totally paralyzed body; only his left eye isn't paralyzed.,2000,Good,Standard (90–120 min)
Tae Guk Gi: The Brotherhood of War,2004,140,8.0,64.0,34709,"When two brothers are forced to fight in the Korean War, the elder decides to take the riskiest missions if it will help shield the younger from battle.",2000,Good,Long (120–180 min)
G.O.R.A.,2004,127,8.0,78.69,34709,A slick young Turk kidnapped by extraterrestrials shows his great « humanitarian spirit » by outwitting the evil commander-in-chief of the planet of G.O.R.A.,2000,Good,Long (120–180 min)
Casino Royale,2006,144,8.0,80.0,34709,"After earning 00 status and a licence to kill, secret agent James Bond sets out on his first mission as 007. Bond must defeat a private banker funding terrorists in a high-stakes game of poker at Casino Royale, Montenegro.",2000,Good,Long (120–180 min)
